Street 	Side 	Low 	High 	Elementary 	Middle 	High School
Queens Ct 	All 	318 	419 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Race track Rd 	Even 	334 	462 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Race track Rd 	Even 	568 	582 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Randolph Pl 	All 	10 	41 	Orchard 	George Washington MS 	Ridgewood High School
Red Birch Ct 	All 	414 	451 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Red Rock Ct 	All 	10 	40 	Willard 	George Washington MS 	Ridgewood High School
Reynen Ct 	All 	5 	53 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Richards Rd 	All 	112 	318 	Willard 	George Washington MS 	Ridgewood High School
Richmond Ave 	All 	6 	119 	Orchard 	George Washington MS 	Ridgewood High School
Ridge Rd 	All 	7 	84 	Ridge 	George Washington MS 	Ridgewood High School
Rivara Ct 	All 	270 	281 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Robert St 	All 	607 	666 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Robinson Ln 	All 	5 	137 	Ridge 	George Washington MS 	Ridgewood High School
Rock Rd 	All 	217 	293 	Ridge 	George Washington MS 	Ridgewood High School
Rose Ct 	All 	245 	257 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Roslyn Rd 	All 	860 	925 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Route 17 N 	All 	548 	552 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Rugby Ct 	All 	351 	375 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Salem Ln 	All 	970 	983 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Second St 	All 	114 	114 	Willard 	George Washington MS 	Ridgewood High School
Shadowbrook Rd 	All 	863 	894 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Sheffield Rd 	All 	409 	482 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Shelbourne Ter 	All 	365 	457 	Willard 	George Washington MS 	Ridgewood High School
Shelton Rd 	All 	562 	658 	Travell 	Benjamin Franklin MS 	Ridgewood High School
